CO_ENTIDADE,DS_ENDERECO,QT_SALAS_UTILIZADAS,IN_QUADRA_ESPORTES_COBERTA,IN_PISCINA
41133340,RUA RAUL ZANON,18.0,1.0,0.0
41133358,RUA CEL JOSE CARVALHO DE OLIVEIRA,40.0,1.0,0.0
41133366,RUA NICOLA PELLANDA,7.0,0.0,0.0
41133390,RUA MAJOR FABRICIANO DO REGO BARROS,13.0,1.0,0.0
41133404,RUA MARIA DE LOURDES MICKOSZ,12.0,1.0,0.0
41133412,RUA ISAIAS REGIS DE MIRANDA,16.0,1.0,0.0
41133463,RUA GABRIEL FRECCEIRO DE MIRANDA,56.0,1.0,0.0
41133471,RUA CATULO DA PAIXAO CEARENSE,21.0,1.0,0.0
41133480,RUA DOTOR HELENO DA SILVEIRA,12.0,1.0,0.0
41133501,AVENIDA SENADOR ACCIOLY FILHO,17.0,1.0,0.0
41133528,RUA PADRE LEONARDO NUNES,25.0,1.0,0.0
41133544,RUA JACINTO ANTUNES DA SILVA,,,
41133552,RUA LODOVICO KAMINSKI,19.0,1.0,0.0
41133560,RUA PROFA MARIA HELENA K BREDOW,14.0,1.0,0.0
41133633,RUA PADRE JOAO WISLINSKI,,,
41133650,RUA WANDA WOLF,7.0,1.0,0.0
41133668,RUA EXPED ESTANISLAU WOJCIK,10.0,1.0,0.0
41133692,RUA ROCHA POMBO,16.0,0.0,0.0
41133722,RUA ANTONIO OLIVIO RODRIGUES,12.0,0.0,0.0
41133749,RUA DESEMBARGADOR CID CAMPELO,5.0,0.0,0.0
41133757,RUA JOAO NEGRAO,47.0,1.0,0.0
41133781,RUA ROBERT REDZIMSKI,19.0,1.0,0.0
41133790,RUA ORLANDO PERUCCI,9.0,0.0,0.0
41133811,RUA CHANC OSWALDO ARANHA,15.0,1.0,0.0
41133838,RUA DEPUTADO CARNEIRO DE CAMPOS,13.0,1.0,0.0
41133854,RUA ESTRADA DAS OLARIAS,6.0,1.0,0.0
41133943,RUA DA GLORIA,11.0,0.0,0.0
41133951,RUA LUIZ RONALDO CANALLI,8.0,1.0,0.0
41133994,RUA BARAO DE ANTONINA,7.0,0.0,0.0
41134028,RUA PRESIDENTE FARIA,,,
41134036,RUA DOUTOR ALEXANDRE GUTIERREZ,17.0,0.0,0.0
41134044,RUA DOUTOR ALEXANDRE GUTIERREZ,16.0,0.0,0.0
41134168,RUA EDUARDO SPRADA,24.0,1.0,0.0
41134176,RUA PEDRO SIQUEIRA CORTES,19.0,1.0,0.0
41134206,RUA DELEGADO TRINDADE,39.0,1.0,0.0
41134214,RUA FREI TEOFILO,10.0,1.0,0.0
41134249,RUA EDUARDO SPRADA,14.0,1.0,0.0
41134257,RUA WALDEMAR KOST,6.0,0.0,0.0
41134273,RUA BOM JESUS DE IGUAPE,10.0,1.0,0.0
41134290,RUA ZEM BERTAPELLE,19.0,1.0,0.0
41134303,RUA DEPUTADO JOAO FERREIRA NEVES,13.0,1.0,0.0
41134346,RUA DUQUE DE CAXIAS,6.0,0.0,0.0
41134389,RUA DOMINGOS IMBRONIZIO,5.0,1.0,0.0
41134397,RUA O BRASIL PARA CRISTO,10.0,1.0,0.0
41134400,"RUA AUGUSTO ZIBARTH,",29.0,0.0,0.0
41134419,AV SILVA JARDIM,24.0,0.0,0.0
41134435,RUA SEBASTIAO MALUCELLI,19.0,1.0,0.0
41134443,RUA UBALDINO DO AMARAL,,,
41146131,JOAQUIM CARDOSO DA SILVEIRA,31.0,0.0,0.0
41146174,RUA EMILIO BERTOLINI,19.0,0.0,0.0
41146182,RUA NOVA AURORA,22.0,1.0,0.0
41146190,RUA FRANCISCO LICNERSKI,16.0,1.0,0.0
41146204,RUA JOAO PEREIRA TRINDADE,14.0,1.0,0.0
41146212,RUA CARLOS DE LAET,12.0,0.0,0.0
41146220,AL PRINCESA IZABEL,15.0,0.0,0.0
41146247,RUA JOAQUIM DA SILVA SAMPAIO,6.0,0.0,0.0
41146280,RUA INEZ JACEK,,,
41146301,RUA MARCOS MORO,12.0,0.0,0.0
41146352,RUA FIORAVANTE SLAVIERO,7.0,1.0,0.0
41146387,AVENIDA MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO,12.0,0.0,0.0
41146441,RUA LIMA BARRETO,,,
41146468,RUA MAESTRO FRANCISCO ANTONELLO,7.0,0.0,0.0
41146476,RUA PAULO MARTINS,19.0,1.0,0.0
41146514,RUA JOSE NAVES DA CUNHA,24.0,1.0,0.0
41146557,RUA GONCALVES DIAS,10.0,0.0,0.0
41146611,RUA ARTHUR MOHR,20.0,1.0,0.0
41147014,RUA JOAO ALENCAR GUIMARAES,15.0,1.0,0.0
41147030,RUA CAPITAO LEONIDAS MARQUES,12.0,0.0,0.0
41147162,RUA JOAO BETTEGA,3.0,1.0,0.0
41147170,RUA CORONEL AGOSTINHO MACEDO,6.0,0.0,0.0
41147189,RUA DESEMBARGADOR VIEIRA CAVALCANTI,7.0,0.0,0.0
41147197,RUA EURIPEDES GARCEZ DO NASCIMENTO,11.0,1.0,0.0
41147200,RUA HENRIQUE MARTINS TORRES,5.0,0.0,0.0
41147243,ESTRADA DE SANTA CANDIDA,5.0,0.0,0.0
41147324,RUA TENENTE-CORONEL ARLINDO CANDIDO MOLINA,8.0,0.0,0.0
41147332,RUA JOAO GUARIZA,,,
41147340,RUA VEREADOR ADEODATO VOLPI,6.0,0.0,0.0
41147405,RUA EDUARDO SPRADA,17.0,0.0,0.0
41147685,RUA ROBERTO CHRISTENSEN,18.0,0.0,0.0
41147693,RUA RAUL POMPEIA,16.0,1.0,0.0
41147707,RUA JOSE DUDEK,5.0,0.0,0.0
41147715,RUA CASEMIRO AUGUSTO RODACKI,7.0,0.0,0.0
41147731,RUA OLINDO CAETANI,6.0,0.0,0.0
41147740,RUA ENETTE DUBARD,8.0,0.0,0.0
41147758,RUA LEONARDO PIANOWSKI,6.0,0.0,0.0
41147944,AV DESEMB HUGO SIMAS,,,
41148142,RUA JOSE KORMANN,38.0,1.0,0.0
41148150,RUA MANOEL CLARO ALVES,9.0,0.0,0.0
41148169,RUA DOUTOR MANOEL LINHARES DE LACERDA,12.0,1.0,0.0
41148177,RUA DAVID BODZIAK,16.0,1.0,0.0
41148185,AVENIDA DESEMBARGADOR HUGO SIMAS,14.0,1.0,0.0
41148312,RUA PAULO ILDEFONSO ASSUMPCAO,7.0,1.0,0.0
41148347,RUA RENASCENCA,4.0,0.0,0.0
41148495,RUA RIO JARI,12.0,1.0,0.0
41148819,ESTRADA DELEGADO BRUNO DE ALMEIDA,11.0,0.0,0.0
41148851,RUA DOUTOR ALCIDES VIEIRA ARCO-VERDE,30.0,1.0,0.0
41148967,RUA ACHILLES STENGHEL,6.0,0.0,0.0
41148975,RUA ABEL SCUISSIATO,,,
41148983,RUA CECILIA MIKOSZ,6.0,0.0,0.0
41149009,RUA PAULA PREVEDELLO GUSSO,10.0,1.0,0.0
41149017,RUA DESEMBARGADOR VIEIRA CAVALCANTI,10.0,0.0,0.0
41149041,RUA HERBERT NEAL,7.0,0.0,0.0
41149050,RUA NICOLA PELLANDA,7.0,0.0,0.0
41149076,RUA EMILIA CHOPACZ,4.0,0.0,0.0
41149270,RUA MARIA FORTUNATA TOSIN,16.0,0.0,0.0
41149289,RUA ABRAO JAK DUCK,6.0,0.0,0.0
41149297,RUA MIGUEL CALUF,6.0,0.0,0.0
41149300,R MANDIRITUBA,8.0,0.0,0.0
41149319,R FRANCISCO KOCHINSKI,15.0,0.0,0.0
41149327,RUA MARCIO JOSE ABONISKI,8.0,0.0,0.0
41149335,RUA VICTOR GRYCAJUK,6.0,0.0,0.0
41149343,RUA ALM DONADELLO,10.0,0.0,0.0
41149351,R GUACUI,8.0,0.0,0.0
41149360,RUA JOSE PICUSSA,6.0,0.0,0.0
41149378,RUA DESEMBARGADOR MOTA,8.0,0.0,0.0
41149386,RUA NOVA LONDRINA,6.0,1.0,0.0
41149424,AVENIDA CANDIDO HARTMANN,5.0,0.0,0.0
41149432,RUA CONSELHEIRO CARRAO,7.0,0.0,0.0
41149459,RUA ANTONIO REBELATTO,7.0,0.0,0.0
41149467,RUA NOSSA SENHORA DE NAZARE,6.0,0.0,0.0
41149475,RUA PADRE DEHON,4.0,0.0,0.0
41149491,RUA THEODORO MAKIOLKA,6.0,0.0,0.0
41149505,RUA TROFI ANDRE AQUIM,13.0,1.0,0.0
41149513,RUA LAUDELINO AFONSO DA ROCHA,5.0,0.0,0.0
41149521,RUA ARTHUR EUCLIDES DE MOURA,5.0,0.0,0.0
41149530,RUA BRUNO LOBO,,,
41149548,AVENIDA ANITA GARIBALDI,5.0,0.0,0.0
41149556,RUA JOAO ALENCAR GUIMARAES,7.0,0.0,0.0
41149564,RUA DESEMBARGADOR ANTONIO DE PAULA,6.0,0.0,0.0
41149572,RUA CANDIDO XAVIER,8.0,0.0,0.0
41149580,RUA ANTONIO LAGO,4.0,0.0,0.0
41149599,RUA BORTOLO PAULIN,8.0,0.0,0.0
41149629,RUA CARLOS DE CAMPOS,3.0,0.0,0.0
41149840,RUA TENENTE JOAO GOMES DA SILVA,9.0,0.0,0.0
41149858,RUA SAO BENTO,10.0,0.0,0.0
41149874,RUA ANGELO CARON,9.0,0.0,0.0
41149998,RUA PRESIDENTE BEAUREPAIRE ROHAN,8.0,0.0,0.0
41150015,RUA NOSSA SENHORA DE NAZARE,9.0,1.0,0.0
41150031,RUA MAJOR INACIO GOMES DA COSTA,,,
41150082,RUA CARLOS GUSSO,5.0,0.0,0.0
41150090,AVENIDA DESEMBARGADOR HUGO SIMAS,7.0,0.0,0.0
41150104,RUA WALDEMAR LOUREIRO CAMPOS,9.0,0.0,0.0
41150120,AV VEREADOR TOALDO TULIO,16.0,0.0,0.0
41150163,AVENIDA NOSSA SENHORA DE LOURDES,12.0,1.0,0.0
41150236,RUA CONSTANTINO MAROCHI,11.0,0.0,0.0
41150422,AV PARANA,13.0,0.0,0.0
41150430,FLAVIO DALLEGRAVE,11.0,0.0,0.0
41150481,RUA SAO MATEUS,9.0,0.0,0.0
41150643,RUA VINTE E QUATRO DE MAIO,,,
41150732,RUA SARGENTO TADEU CZOCHER,7.0,1.0,0.0
41150880,RUA ANTONIO PETRUZZIELLO,13.0,1.0,0.0
41151232,RUA EWERTON LEINIG SAPORSKI,8.0,0.0,0.0
41151240,RUA PAPA LEAO XIII,8.0,0.0,0.0
41151259,RUA DR REYNALDO MACHADO,6.0,0.0,0.0
41151267,RUA GUIRINO JORY,10.0,0.0,0.0
41151275,RUA ERICO DA SILVA,8.0,0.0,0.0
41151283,RUA ODILON SANTANA GOMES,6.0,0.0,0.0
41151291,RUA ALBERTO HEYN,6.0,0.0,0.0
41151305,EST DA MINA DE OURO,6.0,0.0,0.0
41151313,RUA VICTOR GRYCAJUK,10.0,0.0,0.0
41151321,RUA FRANCISCO PAROLIN,14.0,1.0,0.0
41151399,RUA DO ROSARIO,17.0,0.0,0.0
41151801,RUA PEDRO IVO,,,
41151810,RUA ARTHUR LEINIG,20.0,1.0,0.0
41151879,RUA NOSSA SENHORA CONSOLADA,27.0,0.0,0.0
41151887,ESTRADA DELEGADO BRUNO DE ALMEIDA,,,
41151933,RUA BARAO DOS CAMPOS GERAIS,6.0,0.0,0.0
41151941,RUA PROFESSOR ULISSES VIEIRA,6.0,0.0,0.0
41151950,RUA HUMBERTO LEVIS,5.0,1.0,0.0
41152239,RUA CALIXTO RAZOLINI,,,
41152417,RUA AUGUSTO ZIBARTH,7.0,0.0,0.0
41152425,RUA BRAZILIO DE ARAUJO,26.0,1.0,0.0
41152484,PROFESSOR PEDRO VIRIATO PARIGOT DE SOUZA,48.0,1.0,1.0
41152492,RUA GOIAS,,,
41152530,RUA CORONEL IZALTINO PINHO,,,
41152549,RUA INACIO LUSTOSA,,,
41153146,RUA DOUTOR HELENO DA SILVEIRA,22.0,1.0,0.0
41153154,RUA SENADOR ACCIOLY FILHO,19.0,0.0,0.0
41153162,AVENIDA COMENDADOR FRANCO,19.0,0.0,0.0
41153235,RUA PADRE LEONARDO NUNES,25.0,1.0,0.0
41153448,RUA JOSE RODRIGUES PINHEIRO,6.0,0.0,0.0
41153456,RUA FRANCISCO PAROLIN,11.0,0.0,0.0
41153464,R NOVA CANTU,8.0,0.0,0.0
41153472,RUA SENADOR XAVIER DA SILVA,,,
41153537,AVENIDA NOSSA SENHORA DA LUZ,9.0,1.0,0.0
41153863,AVENIDA DOS ESTADOS,10.0,1.0,0.0
41153880,RUA VICENTE ALBERTINO MARCHALEK,5.0,0.0,0.0
41153979,ALAMEDA JULIA DA COSTA,7.0,0.0,0.0
41154207,RUA MARUMBY,,,
41154215,RUA ELIZEU DE SOUZA MENDES,8.0,0.0,0.0
41154223,RUA VOLUNTARIOS DA PATRIA,,,
41154231,AVENIDA COMENDADOR FRANCO,18.0,1.0,0.0
41154290,RODOVIA BR116,,,
41154304,RODOVIA BR116,,,
41154312,AVENIDA PRESIDENTE GETULIO VARGAS,,,
41154339,EST DELEGADO BRUNO DE ALMEIDA,17.0,0.0,0.0
41154363,RUA JOSE CAROLO,15.0,1.0,0.0
41154428,AVENIDA PREFEITO LOTHARIO MEISSNER,,,
41154436,RUA JOAQUIM NABUCO,,,
41154509,FREDERICO CANTARELLI,24.0,1.0,1.0
41154517,FREDERICO CANTARELLI,10.0,1.0,0.0
41154525,RUA NICOLA PELLANDA,,,
41154533,AVENIDA SETE DE SETEMBRO,33.0,0.0,0.0
41154541,RUA ALFERES ANGELO SAMPAIO,,,
41154550,SENADOR ACCIOLY FILHO,,,
41154568,RUA PROFESSOR PEDRO VIRIATO PARIGOT DE SOUZA,,,
41155254,RUA ALFERES POLI,3.0,0.0,0.0
41155351,RUA MATEUS LEME,,,
41155807,RUA JORGE BONN,,,
41155815,ROD CURITIBA PONTA GROSSA,42.0,1.0,1.0
41156072,PROFESSOR JOSE NOGUEIRA DOS SANTOS,,,
41156099,RUA ARION NIEPCE DA SILVA,12.0,1.0,0.0
41156110,RUA ILDEFONSO BORBA CORDEIRO,6.0,1.0,0.0
41156129,RUA FRANCISCO TORRES,,,
41156137,RUA DA DIVINA PROVIDENCIA,7.0,0.0,0.0
41156196,RUA GARDENIO SCORZATO,6.0,0.0,0.0
41156200,RUA DO ROSARIO,7.0,0.0,0.0
41156218,RUA CALIXTO RAZOLINI,15.0,0.0,0.0
41156285,RUA NOVA AURORA,4.0,0.0,0.0
41156293,RUA FRANCISCO DEROSSO,18.0,1.0,0.0
41156307,RUA FRANCISCO MOTA MACHADO,6.0,0.0,0.0
41156323,RUA JOAO BATISTA DALLARMI,16.0,0.0,0.0
41156382,RUA BARTOLOMEU LOURENCO DE GUSMAO,7.0,1.0,0.0
41156439,RUA CARMELINA CAVASSIN,,,
41156498,RUA SANTA MARIA,4.0,0.0,0.0
41156501,RUA DALILA ROLIM VARGAS,6.0,0.0,0.0
41156510,RUA PRESIDENTE FARIA,2.0,0.0,0.0
41156552,RUA ANDRE DE BARROS,2.0,0.0,0.0
41156560,AVENIDA IGUACU,1.0,0.0,0.0
41157001,RUA OLGA LINDER MARCON,6.0,0.0,0.0
41157010,RUA AQUELINO ORESTES BAGLIOLI,17.0,1.0,0.0
41157028,R CEL GUILHERME THEODORO BUEST,6.0,0.0,0.0
41157036,RUA TEN TITO TEIXEIRA DE CASTRO,8.0,0.0,0.0
41157370,RUA ZONARDY RIBAS,,,
41157400,RUA LUCAS CARVALHO,6.0,0.0,0.0
41157419,RUA ERNESTO GERMANO FRANCISCO HANNEMANN,8.0,0.0,0.0
41157427,RUA MANOEL MARTINS DE ABREU,5.0,0.0,0.0
41157451,RUA JAIME BALAO,9.0,0.0,0.0
41157460,RUA TAMOIOS,,,
41157478,RUA DESEMBARGADOR ISAIAS BEVILAQUA,,,
41157710,RUA CAPITAO DOMINGOS CASTELLANO,4.0,0.0,0.0
41157729,RUA CASCAVEL,11.0,0.0,0.0
41157737,RUA HILDEBRANDO DULCIO,7.0,0.0,0.0
41157753,RUA LUIZ PARIGOT DE SOUZA,19.0,1.0,0.0
41157788,RUA CALISTO CUMIN,5.0,0.0,0.0
41157796,RUA ALCEBIADES PLAISANT,9.0,0.0,0.0
41157800,AVENIDA SETE DE SETEMBRO,15.0,0.0,0.0
41157877,RUA MATHIAS DE ANDRADE ROCHA,3.0,0.0,0.0
41157885,RUA DIONIRA MOLETTA KLEMTZ,7.0,0.0,0.0
41157966,RUA ARNALDO MARTINS VILLAR LUCENA,5.0,0.0,0.0
41158270,RUA EDUARDO SPRADA,11.0,0.0,0.0
41158288,RUA WILSON DACHEUX PEREIRA,14.0,0.0,0.0
41158296,RUA ENG ENEDINA ALVES MARQUES,10.0,0.0,0.0
41158300,RUA LEON NICOLAS SN,9.0,0.0,0.0
41158318,RUA DO ROSARIO,15.0,0.0,0.0
41158326,RUA GUILHERME IHLENFELDT,6.0,0.0,0.0
41158334,RUA ITACOLOMI,15.0,0.0,0.0
41158342,RUA AARAO LAMENHA DE SIQUEIRA,10.0,0.0,0.0
41158350,RUA AGOSTINHA MARIA RIBEIRO ABRAO,8.0,0.0,0.0
41158369,RUA ANTONIO PAVELSKI,8.0,0.0,0.0
41158377,RUA ANTONI PAVELSKI,6.0,0.0,0.0
41158385,RUA EDVALD RIBAS BORBA,8.0,0.0,0.0
41158393,RUA ULISSES AURELIO VISINONI,8.0,0.0,0.0
41158407,RUA SILVIO CORAZZA,6.0,0.0,0.0
41158415,RUA ALGACYR MANOEL VOLUZ,6.0,0.0,0.0
41158423,RUA URIEL NOGUEIRA DOS SANTOS,10.0,0.0,0.0
41158431,RUA ACRE,8.0,0.0,0.0
41158440,RUA CECILIA VIGO BRUZAMORIN,6.0,0.0,0.0
41158458,RUA CELESTE TORTATO GABARDO,8.0,0.0,0.0
41158466,RUA ONOFRE PEDRO DOS SANTOS,6.0,0.0,0.0
41158474,RUA OSEAS LAZZARI STOTERAU,8.0,0.0,0.0
41158750,ANNE FRANK,16.0,1.0,0.0
41158784,AV ANITA GARIBALDI,15.0,1.0,0.0
41159020,JUSCELINO KUBITSCHEK DE OLIVEIRA,7.0,0.0,0.0
41159039,RUA GOIAS,,,
41159047,AVENIDA PARANA,4.0,0.0,0.0
41159055,RUA DOUTOR OTHON ACCIOLY RODRIGUES DA COSTA,5.0,0.0,0.0
41159136,RUA PADRE DEHON,23.0,1.0,0.0
41159551,RUA ALMIRANTE GONCALVES,17.0,1.0,0.0
41159870,RUA PROFESSOR LEO KESSLER,5.0,0.0,0.0
41160002,RUA DENEZAR ANDRADE DE JESUS,8.0,0.0,0.0
41160010,RUA WALDOMIRO DALDIGAN,11.0,0.0,0.0
41160029,RUA MONSENHOR CELSO,,,
41160070,RUA ANGELO CARON,8.0,0.0,0.0
41160096,RUA DOMINGOS IMBRONIZIO,3.0,0.0,0.0
41160100,RUA SILVEIRA NETO,,,
41160150,AV SETE DE SETEMBRO,9.0,1.0,0.0
41160207,RUA ALCIR MARTINS BASTOS,5.0,1.0,0.0
41160304,RUA PROFESSOR NARCISO MENDES,4.0,0.0,0.0
41160312,RUA CARLOS DE CAMPOS,4.0,0.0,0.0
41160347,RUA BRUNO FILGUEIRA,5.0,0.0,0.0
41160550,RUA HUMBERTO GIRALDI,,,
41160592,RUA PROFESSOR WALDIR DE JESUS,13.0,1.0,0.0
41160703,RUA CAPITAO AMIM MOSSE,5.0,0.0,0.0
41160827,RUA PEDRO BONAT,35.0,1.0,0.0
41161033,RUA ANTONIO PETRUZZIELLO SN,6.0,0.0,0.0
41161114,RUA CORONEL AMAZONAS MARCONDES,6.0,0.0,0.0
41161122,RUA ANTONIO SCHWARTZ,6.0,0.0,0.0
41161130,RUA OLIVARDO KONOROSKI BUENO SN,8.0,0.0,0.0
41161211,RUA ANTONIA MOLINA BELLA,8.0,0.0,0.0
41161270,RUA DEPUTADO OLIVIO BELICH,9.0,0.0,0.0
41161297,RUA PARAGUASSU,6.0,0.0,0.0
41161300,RUA PREFEITO ANGELO FERRARIO LOPES,5.0,0.0,0.0
41161360,RUA CONSTANTINO JOSE DE ALMEIDA,8.0,0.0,0.0
41161394,RUA JOSE NICCO,5.0,0.0,0.0
41161408,PAULA GOMES,24.0,1.0,0.0
41161416,RUA PAULA PREVELLO GUSSO,12.0,1.0,0.0
41161432,RUA SANTA MARIA,5.0,0.0,0.0
41161521,RUA PROFESSOR ARTHUR LOYOLA,5.0,0.0,0.0
41161530,RUA PROFESSORA TEREZITA FARIA DOS SANTOS LIMA,7.0,0.0,0.0
41161661,RUA VEREADOR WASHINGTON MANSUR,5.0,0.0,0.0
41161718,RUA JARDIM ALEGRE,6.0,0.0,0.0
41161726,RUA MATHIAS DE ANDRADE ROCHA,5.0,0.0,0.0
41161734,RUA CARLOS KLEMTZ,,,
41161807,RUA PEDRO DEMETERCO,8.0,0.0,0.0
41161815,RUA HUMBERTO CICCARINO,8.0,0.0,0.0
41161823,RUA CORONEL HOCHE PEDRA PIRES,,,
41161866,RUA SANTA JOANA DARC,7.0,0.0,0.0
41161874,RUA SATURNINO MIRANDA,6.0,0.0,0.0
41161882,RUA MIGUEL PIEKARSKI,4.0,0.0,0.0
41161904,RUA VEREADOR ANTONIO DOS REIS CAVALHEIRO,5.0,0.0,0.0
41161912,RUA HIPOLITO DA COSTA,6.0,0.0,0.0
41161920,RUA ALCIDIO CUBAS,,,
41161980,RUA VIRIATO CORREA,10.0,1.0,0.0
41162072,RUA DIOGO MUGIATTI,,,
41162080,RUA SANTA MONICA,6.0,0.0,0.0
41162102,RUA HAROLDO DRUMOND DE CARVALHO,4.0,0.0,0.0
41162110,RUA DESEMBARGADOR JOAO JOSE ARRUDA JUNIOR,6.0,0.0,0.0
41162129,RUA CAMPINA GRANDE DO SUL,8.0,0.0,0.0
41162137,RUA CASEMIRO MITCZUK,7.0,0.0,0.0
41162145,RUA HAROLDO DRUMOND DE CARVALHO,2.0,0.0,0.0
41162153,RUA JUNDIAI DO SUL,4.0,0.0,0.0
41162161,RUA EPAMINONDAS SANTOS,,,
41162170,RUA TABAJARAS,8.0,0.0,0.0
41162188,RUA RAUL ZANON,7.0,0.0,0.0
41162200,RUA VER ANTONIO DOS REIS CAVALHEIRO,6.0,0.0,0.0
41162226,RUA LONDRINA,5.0,0.0,0.0
41162234,RUA OMAR RAYMUNDO PICHETH,6.0,0.0,0.0
41162285,AV JOAO GUALBERTO,8.0,0.0,0.0
41162528,RUA SANTA MONICA,9.0,0.0,0.0
41162536,RUA CASCAVEL,14.0,0.0,0.0
41162544,RUA FRANCISCO JOSE LOBO,3.0,0.0,0.0
41162552,RUA DR MANOEL ABILHOA,7.0,0.0,0.0
41162579,RUA NICODEMUS ZEGLIN,3.0,0.0,0.0
41162633,RUA ALAMEDA CABRAL,9.0,0.0,0.0
41162641,TRAV ALICE FURLAMETTO MORET,4.0,0.0,0.0
41162684,RUA CAPITAO ARGEMIRO MONTEIRO WANDERLEY,6.0,0.0,0.0
41162692,RUA AFIFFE MANSUR,8.0,0.0,0.0
41162706,RUA COSTA RICA,7.0,0.0,0.0
41162749,RUA DONA ALICE TIBIRICA,7.0,0.0,0.0
41162803,RUA NICOLA PELLANDA,10.0,0.0,0.0
41162986,RUA PARA,16.0,0.0,0.0
41163087,RUA WALDOMIRO DALDIGAN,6.0,0.0,0.0
41163095,RUA TRINTA E UM DE MARCO,13.0,1.0,0.0
41163222,AV PRES AFFONSO CAMARGO,5.0,0.0,0.0
41163249,RUA CAETANO MARCHESINE,13.0,0.0,0.0
41163257,RUA SALDANHA MARINHO,8.0,0.0,0.0
41163290,TRAVESSA JOAO BOM,8.0,0.0,0.0
41163303,RUA MARTA KATEIVA DE OLIVEIRA,5.0,0.0,0.0
41163311,ALAMEDA AUGUSTO STELFELD,12.0,0.0,0.0
41163338,RUA MANOEL RIBAS,7.0,0.0,0.0
41163346,RUA MANOEL VALDOMIRO DE MACEDO,11.0,0.0,0.0
41163400,RUA TENENTE FRANCISCO FERREIRA DE SOUZA,8.0,0.0,0.0
41163737,RUA JOSE ZGODA,8.0,0.0,0.0
41163770,RUA CAMPINA GRANDE DO SUL,8.0,0.0,0.0
41163885,RUA MATEUS LEME,8.0,0.0,0.0
41164180,RUA MARCOS MOCELLIN,5.0,0.0,0.0
41164202,RUA JARDIM OLINDA,6.0,0.0,0.0
41164229,RUA CRISTIANO SCHMITZ,5.0,0.0,0.0
41164237,RUA NATAL,5.0,0.0,0.0
41164318,RUA ELIZEU DE SOUZA MENDES,2.0,0.0,0.0
41164326,RUA ANGELINA ANSAI,11.0,1.0,0.0
41164334,RUA PROFESSOR ASSIS GONCALVES,7.0,0.0,0.0
41164350,RUA LAUDELINO FERREIRA LOPES,7.0,0.0,0.0
41164369,ESTRADA DO GANCHINHO,4.0,0.0,0.0
41164571,RUA VISCONDE DE NACAR,6.0,0.0,0.0
41164598,AVENIDA REPUBLICA ARGENTINA,15.0,0.0,0.0
41164660,RUA EUGENIO FLOR,5.0,1.0,0.0
41164679,AVENIDA REPUBLICA ARGENTINA,35.0,0.0,0.0
41352793,RUA PROF ELEVIR DIONYZIO,6.0,0.0,0.0
